,path,label,bug_issue,hours_to_resolution,avg_hours_to_resolution,num_of_modified_files_issues,number_of_issue_report,bug_commit,number_of_commit_report,complexity,sum_added_lines,sum_deleted_lines,sum_num_lines,num_of_developers
36,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/MutationsRejectedException.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
37,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/NamespaceExistsException.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
38,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/NamespaceNotEmptyException.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
39,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/NamespaceNotFoundException.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
40,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/NamespacePermission.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
41,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/NoMoreEntriesException.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
42,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/PartialKey.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
43,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/Range.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
44,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/ScanColumn.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
45,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/ScanOptions.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
46,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/ScanResult.java,1,1,12.68,0.08397350993377484,151,1,0,0,0,0,0,0,0
47,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/ScanState.java,1,1,12.68,0.08397350993377484,151,1,0,0,0,0,0,0,0
48,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/ScanType.java,1,1,12.68,0.08397350993377484,151,1,0,0,0,0,0,0,0
49,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/SystemPermission.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
50,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/TableExistsException.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
51,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/TableNotFoundException.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
52,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/TablePermission.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
53,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/TimeType.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
54,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/UnknownScanner.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
55,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/UnknownWriter.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
56,ApacheRepos/accumulo-proxy/src/main/java/org/apache/accumulo/proxy/thrift/WriterOptions.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
57,ApacheRepos/myfaces-build-tools/maven2-plugins/myfaces-builder-plugin/src/main/java/org/apache/myfaces/buildtools/maven2/plugin/builder/MakeConfigMojo.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
58,ApacheRepos/myfaces-build-tools/maven2-plugins/myfaces-faces-plugin/src/main/java/org/apache/myfaces/buildtools/maven2/plugin/faces/AbstractFacesMojo.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
59,ApacheRepos/myfaces-build-tools/maven2-plugins/myfaces-faces-plugin/src/main/java/org/apache/myfaces/buildtools/maven2/plugin/faces/generator/taglib/AbstractTagGenerator.java,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0
